year,mon,day,hour,min,sec,lat_deg,lat_min,lon_deg,lon_min,quality,magnitude,depth_km,nph,rms,eventid,lat_dd,lon_dd,iso_utc
2025,01,01,01,54,51.66,35,30.9,-118,22.55,A,1.1,8.61,49,0.13,40831111,35.515,-118.37583333333333,2025-01-01T01:54:51.66Z
2025,01,01,02,14,1.26,33,28.78,-116,34.84,A,0.6,5.9,58,0.15,40831119,33.47966666666667,-116.58066666666667,2025-01-01T02:14:01.26Z
2025,01,01,02,30,22.12,33,18.47,-116,21.39,A,1.0,10.21,96,0.23,40831127,33.307833333333335,-116.3565,2025-01-01T02:30:22.12Z
2025,01,01,02,51,10.18,32,59.84,-116,26.61,A,0.9,8.81,74,0.18,40831135,32.99733333333333,-116.4435,2025-01-01T02:51:10.18Z
2025,01,01,03,55,58.79,32,59.66,-116,26.22,A,0.6,7.88,41,0.17,40831151,32.99433333333333,-116.437,2025-01-01T03:55:58.79Z
2025,01,01,03,58,18.67,33,49.17,-117,38.18,A,0.9,4.86,35,0.17,40831159,33.8195,-117.63633333333334,2025-01-01T03:58:18.67Z
2025,01,01,04,08,16.48,33,28.29,-116,34.21,A,0.5,10.89,44,0.13,40831167,33.4715,-116.57016666666667,2025-01-01T04:08:16.48Z
2025,01,01,04,38,27.07,33,53.76,-116,53.21,A,0.8,13.59,71,0.15,40831175,33.896,-116.88683333333333,2025-01-01T04:38:27.07Z
2025,01,01,05,00,27.96,34,16.41,-118,26.7,A,0.8,11.39,48,0.17,40831191,34.2735,-118.445,2025-01-01T05:00:27.96Z
2025,01,01,05,15,25.98,35,42.71,-117,33.19,A,1.1,8.84,47,0.19,40831199,35.71183333333333,-117.55316666666667,2025-01-01T05:15:25.98Z
2025,01,01,06,00,30.95,32,59.28,-116,23.14,A,0.8,4.94,72,0.17,40831207,32.988,-116.38566666666667,2025-01-01T06:00:30.95Z
2025,01,01,06,02,28.73,33,59.52,-116,54.2,A,0.8,9.94,47,0.13,40831215,33.992,-116.90333333333334,2025-01-01T06:02:28.73Z
2025,01,01,07,27,20.89,35,45.16,-117,34.24,A,0.5,3.51,26,0.16,40831223,35.75266666666667,-117.57066666666667,2025-01-01T07:27:20.89Z
2025,01,01,07,27,37.78,35,45.99,-118,1.84,C,0.1,5.55,11,0.2,37693868,35.7665,-118.03066666666666,2025-01-01T07:27:37.78Z
2025,01,01,07,41,39.54,33,59.34,-116,54.37,A,1.0,10.97,98,0.13,40831231,33.989,-116.90616666666666,2025-01-01T07:41:39.54Z
2025,01,01,08,11,54.01,33,15.92,-116,12.69,A,1.2,11.08,94,0.19,40831255,33.26533333333333,-116.2115,2025-01-01T08:11:54.01Z
2025,01,01,08,28,47.31,34,15.7,-117,7.18,A,1.1,4.17,76,0.17,40831263,34.26166666666666,-117.11966666666666,2025-01-01T08:28:47.31Z
2025,01,01,08,30,7.62,34,15.58,-117,6.94,C,0.6,3.3,17,0.16,40831271,34.25966666666667,-117.11566666666667,2025-01-01T08:30:07.62Z
2025,01,01,08,37,51.55,33,25.24,-116,37.04,A,0.3,9.65,43,0.14,40831279,33.42066666666667,-116.61733333333333,2025-01-01T08:37:51.55Z
2025,01,01,08,49,40.71,33,57.76,-117,9.16,A,1.3,17.19,136,0.17,40831287,33.962666666666664,-117.15266666666666,2025-01-01T08:49:40.71Z
2025,01,01,08,53,59.57,34,55.01,-119,3.47,A,1.7,15.08,111,0.21,40831295,34.91683333333334,-119.05783333333333,2025-01-01T08:53:59.57Z
2025,01,01,09,15,46.41,32,55.93,-116,13.98,A,0.8,8.73,65,0.19,40831303,32.93216666666667,-116.233,2025-01-01T09:15:46.41Z
2025,01,01,09,39,43.22,34,1.83,-117,12.84,A,1.3,13.77,136,0.17,40831311,34.0305,-117.214,2025-01-01T09:39:43.22Z
2025,01,01,09,49,4.6,34,1.31,-118,57.62,A,1.5,15.44,62,0.26,40831319,34.02183333333333,-118.96033333333334,2025-01-01T09:49:04.60Z
2025,01,01,09,51,43.2,34,1.25,-118,57.35,A,1.5,14.57,41,0.32,40831327,34.020833333333336,-118.95583333333333,2025-01-01T09:51:43.20Z
2025,01,01,10,36,47.61,34,1.78,-117,12.96,A,1.9,14.43,174,0.13,40831343,34.029666666666664,-117.216,2025-01-01T10:36:47.61Z
2025,01,01,10,42,28.74,32,59.82,-116,26.57,A,1.1,7.34,94,0.18,40831351,32.997,-116.44283333333334,2025-01-01T10:42:28.74Z
2025,01,01,11,03,34.44,33,28.66,-116,53.51,A,0.6,13.04,77,0.22,40831359,33.477666666666664,-116.89183333333334,2025-01-01T11:03:34.44Z
